Starting Impala Shell without Kerberos authentication
+------------------------------+----------------+----------------+----------+--------+-----------+-------+-----+------------+-----------+-------+---------+-------------------+--------------------+----------+-----------+-------------+--------------+---------+----------+---------+------------+
| rawmsg                       | mintime        | maxtime        | msgcount | icao24 | nicsuppla | hcr   | nic | survstatus | nicsupplb | odd   | baroalt | lat               | lon                | alt      | nicsupplc | groundspeed | gsresolution | heading | timeflag | surface | hour       |
| 8daa2e3658b99043b215cb7500a9 | 1618945235.253 | 1618945235.253 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39665222167969 | -104.6807670593262 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc40aa9d2c7fdb | 1618945235.586 | 1618945235.586 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39714645127118 | -104.6816497153424 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99043da15ac29b42e | 1618945236.09  | 1618945236.09  | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39756774902344 | -104.6825408935547 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc66aa7ebf5676 | 1618945236.589 | 1618945236.589 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39803094378972 | -104.6834612907247 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc76aa719db22e | 1618945237.091 | 1618945237.091 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39840336169227 | -104.684220983627  | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b990443a155f258a9b | 1618945238.428 | 1618945238.428 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39976501464844 | -104.6869468688965 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b990444a15533702aa | 1618945238.928 | 1618945238.928 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40013122558594 | -104.6876335144043 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987dd3aa9d6bee917 | 1618945242.099 | 1618945242.099 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.40296548099841 | -104.6932788605386 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98044da14e0c72ccd | 1618945242.432 | 1618945242.432 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40342712402344 | -104.6942138671875 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987dd62a9b77a4184 | 1618945243.096 | 1618945243.096 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.40389652575477 | -104.6950904359209 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987dd7aa9a436af56 | 1618945243.602 | 1618945243.602 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.40445515260858 | -104.6962007563165 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987ddbca96f81b7f1 | 1618945245.275 | 1618945245.275 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.40599137645657 | -104.6992979658411 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980455a147a015f5c | 1618945245.61  | 1618945245.61  | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40635681152344 | -104.7000503540039 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98045721467d5ddf6 | 1618945246.28  | 1618945246.28  | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40690612792969 | -104.7011375427246 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980458a1454bd7242 | 1618945246.781 | 1618945246.781 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40745544433594 | -104.7022247314453 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987de54a8f5bf1535 | 1618945249.109 | 1618945249.109 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.40952934653072 | -104.7064273915392 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98045f813fb675d13 | 1618945249.604 | 1618945249.604 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40997314453125 | -104.7073173522949 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980460813ee1cb2c7 | 1618945250.106 | 1618945250.106 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.41033935546875 | -104.7080612182617 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980461813e2c1be8d | 1618945250.442 | 1618945250.442 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.41070556640625 | -104.7087478637695 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980468e1382d84566 | 1618945253.466 | 1618945253.466 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.41340637207031 | -104.714241027832  | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98046a6136f096304 | 1618945253.966 | 1618945253.966 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.41395568847656 | -104.7153282165527 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98046c61355c7aa60 | 1618945254.802 | 1618945254.802 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.41468811035156 | -104.7168159484863 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987dfa2a7e91a3124 | 1618945257.817 | 1618945257.817 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.41730357024629 | -104.7220887529089 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98048c811b83b03d6 | 1618945267.84  | 1618945267.84  | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.42645263671875 | -104.7404479980469 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e14ea692f2cb07 | 1618945268.843 | 1618945268.843 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.4272657491393  | -104.7421329579455 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e1d2a62965c760 | 1618945272.077 | 1618945272.077 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.43033819683527 | -104.7482689390791 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b9804aa4103b0c6d55 | 1618945279.762 | 1618945279.762 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.43734741210938 | -104.7622489929199 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b9804da60dca98e82f | 1618945299.503 | 1618945299.503 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.45497131347656 | -104.7980117797852 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e608a2c6bc55e4 | 1618945299.837 | 1618945299.837 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.45542985301907 | -104.7989346118683 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e620a2b36ae5f2 | 1618945300.499 | 1618945300.499 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.45598847987288 | -104.8000449322639 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b9804de60d97eecf96 | 1618945301.001 | 1618945301.001 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.45643615722656 | -104.8009300231934 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e656a288aa6509 | 1618945301.998 | 1618945301.998 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.45724539029396 | -104.802557762633  | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b98050540bd33b1273 | 1618945315.701 | 1618945315.701 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.47067260742188 | -104.8267936706543 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e8aea0db848216 | 1618945316.206 | 1618945316.206 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.4712110616393  | -104.8276276284076 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987e90aa0a13598ba | 1618945318.206 | 1618945318.206 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.47335246457892 | -104.83101702751   | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
+------------------------------+----------------+----------------+----------+--------+-----------+-------+-----+------------+-----------+-------+---------+-------------------+--------------------+----------+-----------+-------------+--------------+---------+----------+---------+------------+
